ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,timestamp,date,hour,day_of_week,month,year,seconds_played,minutes_played,artist_name,track_name,album_name
2023-09-04T00:29:31Z,ios,393360,US,172.56.209.239,Another In The Fire - Live,Hillsong UNITED,People,spotify:track:5PmHmU5AaBy9ld3bdQkD96,,,,,,,,playbtn,trackdone,True,False,False,1693786978.0,False,2023-09-04 00:29:31+00:00,2023-09-04,0,Monday,9,2023,393.36,6.556,Hillsong UNITED,Another In The Fire - Live,People
2023-09-04T00:36:52Z,ios,353546,US,172.56.209.239,Good Grace - Live,Hillsong UNITED,People,spotify:track:7nzmXUrZwSOJPNmV0mOmEn,,,,,,,,trackdone,trackdone,True,False,False,1693787371.0,False,2023-09-04 00:36:52+00:00,2023-09-04,0,Monday,9,2023,353.546,5.892433333333333,Hillsong UNITED,Good Grace - Live,People
2023-09-04T00:40:11Z,ios,197657,US,172.56.209.239,Echoes (Till We See The Other Side) - Live,Hillsong UNITED,People,spotify:track:0oHYnQXUrFoIm0xraAmdNG,,,,,,,,trackdone,endplay,True,True,False,1693787812.0,False,2023-09-04 00:40:11+00:00,2023-09-04,0,Monday,9,2023,197.657,3.2942833333333335,Hillsong UNITED,Echoes (Till We See The Other Side) - Live,People
2023-09-04T00:41:55Z,ios,55170,US,172.56.209.239,Not Today,Hillsong UNITED,Wonder,spotify:track:33Nyq9QfKCXEQtzeg22vg7,,,,,,,,fwdbtn,endplay,True,True,False,1693788046.0,False,2023-09-04 00:41:55+00:00,2023-09-04,0,Monday,9,2023,55.17,0.9195,Hillsong UNITED,Not Today,Wonder
2023-09-04T00:43:46Z,ios,48599,US,172.56.209.239,Glory and Majesty,Jon Reddick,"God, Turn It Around",spotify:track:5lvrYFNaUV2eib9Tas1gZK,,,,,,,,playbtn,endplay,True,True,False,1693788167.0,False,2023-09-04 00:43:46+00:00,2023-09-04,0,Monday,9,2023,48.599,0.8099833333333333,Jon Reddick,Glory and Majesty,"God, Turn It Around"
2023-09-04T00:45:39Z,ios,90859,US,172.56.209.239,Glory and Majesty,Jon Reddick,"God, Turn It Around",spotify:track:5lvrYFNaUV2eib9Tas1gZK,,,,,,,,playbtn,logout,True,False,False,1693788227.0,False,2023-09-04 00:45:39+00:00,2023-09-04,0,Monday,9,2023,90.859,1.5143166666666665,Jon Reddick,Glory and Majesty,"God, Turn It Around"
2023-09-04T00:47:34Z,ios,59907,US,172.56.209.239,Throne Room Song,Charity Gayle,Endless Praise,spotify:track:2jspAMff1XSSzkYhZJtzZV,,,,,,,,fwdbtn,endplay,True,True,False,1693788394.0,False,2023-09-04 00:47:34+00:00,2023-09-04,0,Monday,9,2023,59.907,0.99845,Charity Gayle,Throne Room Song,Endless Praise
2023-09-04T22:21:11Z,ios,72097,US,172.56.209.173,Highlands (Song Of Ascent) - Live,Hillsong UNITED,People,spotify:track:78bUGqKRoXN8kJY1AeWhzt,,,,,,,,fwdbtn,fwdbtn,True,True,False,1693865966.0,False,2023-09-04 22:21:11+00:00,2023-09-04,22,Monday,9,2023,72.097,1.2016166666666666,Hillsong UNITED,Highlands (Song Of Ascent) - Live,People
2023-09-04T22:22:18Z,ios,66989,US,172.56.209.173,Way Maker - Live,Leeland,Better Word,spotify:track:40ozK0lCJ0EQzVGWsCNUhk,,,,,,,,fwdbtn,endplay,True,True,False,1693866071.0,False,2023-09-04 22:22:18+00:00,2023-09-04,22,Monday,9,2023,66.989,1.1164833333333335,Leeland,Way Maker - Live,Better Word
2023-09-04T22:26:52Z,ios,52244,US,172.56.208.159,I Speak Jesus,Charity Gayle,Endless Praise,spotify:track:467ywsenaNywwCuYhmBb5N,,,,,,,,fwdbtn,endplay,True,True,False,1693866360.0,False,2023-09-04 22:26:52+00:00,2023-09-04,22,Monday,9,2023,52.244,0.8707333333333334,Charity Gayle,I Speak Jesus,Endless Praise
2023-09-04T22:33:23Z,ios,391413,US,172.56.208.159,Throne Room Song,Charity Gayle,Endless Praise,spotify:track:2jspAMff1XSSzkYhZJtzZV,,,,,,,,playbtn,trackdone,True,False,False,1693866412.0,False,2023-09-04 22:33:23+00:00,2023-09-04,22,Monday,9,2023,391.413,6.52355,Charity Gayle,Throne Room Song,Endless Praise
2023-09-04T22:39:45Z,ios,382573,US,172.56.208.159,Echoes (Till We See The Other Side) - Live,Hillsong UNITED,People,spotify:track:0oHYnQXUrFoIm0xraAmdNG,,,,,,,,trackdone,trackdone,True,False,False,1693866803.0,False,2023-09-04 22:39:45+00:00,2023-09-04,22,Monday,9,2023,382.573,6.376216666666666,Hillsong UNITED,Echoes (Till We See The Other Side) - Live,People
2023-09-04T22:44:31Z,ios,253653,US,172.56.208.159,Not Today,Hillsong UNITED,Wonder,spotify:track:33Nyq9QfKCXEQtzeg22vg7,,,,,,,,trackdone,trackdone,True,False,False,1693867217.0,False,2023-09-04 22:44:31+00:00,2023-09-04,22,Monday,9,2023,253.653,4.22755,Hillsong UNITED,Not Today,Wonder
2023-09-04T22:49:03Z,ios,272426,US,172.56.208.159,Come Alive,Hillsong Worship,Awake,spotify:track:78pKjOa4gToyRxn3cVc7Sa,,,,,,,,trackdone,trackdone,True,False,False,1693867471.0,False,2023-09-04 22:49:03+00:00,2023-09-04,22,Monday,9,2023,272.426,4.5404333333333335,Hillsong Worship,Come Alive,Awake
2023-09-04T22:55:51Z,ios,400200,US,172.56.208.159,Canvas And Clay - Live,Pat Barrett,Canvas And Clay,spotify:track:6StDOwqq1OmVlSKptJ6Fn0,,,,,,,,trackdone,trackdone,True,False,False,1693867755.0,False,2023-09-04 22:55:51+00:00,2023-09-04,22,Monday,9,2023,400.2,6.67,Pat Barrett,Canvas And Clay - Live,Canvas And Clay
2023-09-04T23:02:12Z,ios,347892,US,172.56.208.159,How I Need You,Highlands Worship,Jesus You Alone,spotify:track:2K0taxDhRaOUBJ0GluNnnb,,,,,,,,trackdone,trackdone,True,False,False,1693868185.0,False,2023-09-04 23:02:12+00:00,2023-09-04,23,Monday,9,2023,347.892,5.7982,Highlands Worship,How I Need You,Jesus You Alone
2023-09-04T23:06:57Z,ios,284819,US,172.56.208.159,Promise to the End,LO Worship,Steady Light,spotify:track:28zWWGqnx50babdXULowGa,,,,,,,,trackdone,trackdone,True,False,False,1693868533.0,False,2023-09-04 23:06:57+00:00,2023-09-04,23,Monday,9,2023,284.819,4.7469833333333336,LO Worship,Promise to the End,Steady Light
2023-09-04T23:11:43Z,ios,284970,US,172.56.208.159,Glory and Majesty,Jon Reddick,"God, Turn It Around",spotify:track:5lvrYFNaUV2eib9Tas1gZK,,,,,,,,trackdone,trackdone,True,False,False,1693868818.0,False,2023-09-04 23:11:43+00:00,2023-09-04,23,Monday,9,2023,284.97,4.7495,Jon Reddick,Glory and Majesty,"God, Turn It Around"
2023-09-04T23:15:04Z,ios,200079,US,172.56.208.159,EVERYTHING EVERYTHING,ELEVATION RHYTHM,EVERYTHING EVERYTHING,spotify:track:2pMc6SJXAZe1HNwY8lQLby,,,,,,,,trackdone,trackdone,True,False,False,1693869104.0,False,2023-09-04 23:15:04+00:00,2023-09-04,23,Monday,9,2023,200.079,3.3346500000000003,ELEVATION RHYTHM,EVERYTHING EVERYTHING,EVERYTHING EVERYTHING
2023-09-04T23:19:01Z,ios,200017,US,172.56.208.159,NEVER WALK AWAY,ELEVATION RHYTHM,NEVER WALK AWAY,spotify:track:0HJ8YJ3KXYhEEO90gb1bjp,,,,,,,,trackdone,trackdone,True,False,False,1693869341.0,False,2023-09-04 23:19:01+00:00,2023-09-04,23,Monday,9,2023,200.017,3.3336166666666665,ELEVATION RHYTHM,NEVER WALK AWAY,NEVER WALK AWAY
2023-09-04T23:25:04Z,ios,362746,US,172.56.208.159,You Deserve It All,Josh Baldwin,The War Is Over,spotify:track:2e5gy7g1ZNm1VgIds9PC0E,,,,,,,,trackdone,trackdone,True,False,False,1693869542.0,False,2023-09-04 23:25:04+00:00,2023-09-04,23,Monday,9,2023,362.746,6.045766666666666,Josh Baldwin,You Deserve It All,The War Is Over
2023-09-04T23:32:08Z,ios,333933,US,172.56.208.159,Holy Ground - Live,Hillsong UNITED,People,spotify:track:0rTeyZcuD8Txwtopb4lYcV,,,,,,,,trackdone,trackdone,True,False,False,1693869905.0,False,2023-09-04 23:32:08+00:00,2023-09-04,23,Monday,9,2023,333.933,5.56555,Hillsong UNITED,Holy Ground - Live,People
2023-09-04T23:34:32Z,ios,142114,US,172.56.208.159,Throne Room Song,Charity Gayle,Endless Praise,spotify:track:2jspAMff1XSSzkYhZJtzZV,,,,,,,,trackdone,fwdbtn,True,True,False,1693870328.0,False,2023-09-04 23:34:32+00:00,2023-09-04,23,Monday,9,2023,142.114,2.3685666666666667,Charity Gayle,Throne Room Song,Endless Praise
2023-09-04T23:42:18Z,ios,409996,US,172.56.208.159,Make Room - Live,Community Music,Make Room,spotify:track:4CJAaPdYuz8pwexNaYAF3j,,,,,,,,fwdbtn,trackdone,True,False,False,1693870502.0,False,2023-09-04 23:42:18+00:00,2023-09-04,23,Monday,9,2023,409.996,6.833266666666666,Community Music,Make Room - Live,Make Room
2023-09-04T23:49:12Z,ios,382573,US,172.56.208.159,Echoes (Till We See The Other Side) - Live,Hillsong UNITED,People,spotify:track:0oHYnQXUrFoIm0xraAmdNG,,,,,,,,trackdone,trackdone,True,False,False,1693870969.0,False,2023-09-04 23:49:12+00:00,2023-09-04,23,Monday,9,2023,382.573,6.376216666666666,Hillsong UNITED,Echoes (Till We See The Other Side) - Live,People
2023-09-04T23:55:18Z,ios,335400,US,172.56.208.159,Fountains,Josh Baldwin,The War Is Over,spotify:track:6sIEO9ZDhpW0BhCz1ZFIYV,,,,,,,,trackdone,trackdone,True,False,False,1693871383.0,False,2023-09-04 23:55:18+00:00,2023-09-04,23,Monday,9,2023,335.4,5.59,Josh Baldwin,Fountains,The War Is Over
2023-09-04T23:59:53Z,ios,274534,US,172.56.208.159,That's The Power - Live,Hillsong Worship,These Same Skies,spotify:track:4fA75ecQMGhP7Wld2kT0ZY,,,,,,,,trackdone,trackdone,True,False,False,1693871719.0,False,2023-09-04 23:59:53+00:00,2023-09-04,23,Monday,9,2023,274.534,4.575566666666666,Hillsong Worship,That's The Power - Live,These Same Skies
2023-09-05T00:05:18Z,ios,324653,US,172.56.208.159,Welcome King Jesus,People & Songs,"The Emerging Sound, Vol. 5",spotify:track:47qSl58YNWtZmpH34JvGJZ,,,,,,,,trackdone,trackdone,True,False,False,1693871994.0,False,2023-09-05 00:05:18+00:00,2023-09-05,0,Tuesday,9,2023,324.653,5.4108833333333335,People & Songs,Welcome King Jesus,"The Emerging Sound, Vol. 5"
2023-09-05T00:11:38Z,ios,347892,US,172.56.208.159,How I Need You,Highlands Worship,Jesus You Alone,spotify:track:2K0taxDhRaOUBJ0GluNnnb,,,,,,,,trackdone,trackdone,True,False,False,1693872350.0,False,2023-09-05 00:11:38+00:00,2023-09-05,0,Tuesday,9,2023,347.892,5.7982,Highlands Worship,How I Need You,Jesus You Alone
2023-09-05T00:16:23Z,ios,284819,US,172.56.208.159,Promise to the End,LO Worship,Steady Light,spotify:track:28zWWGqnx50babdXULowGa,,,,,,,,trackdone,trackdone,True,False,False,1693872699.0,False,2023-09-05 00:16:23+00:00,2023-09-05,0,Tuesday,9,2023,284.819,4.7469833333333336,LO Worship,Promise to the End,Steady Light
2023-09-05T00:21:28Z,ios,284970,US,172.56.208.159,Glory and Majesty,Jon Reddick,"God, Turn It Around",spotify:track:5lvrYFNaUV2eib9Tas1gZK,,,,,,,,trackdone,trackdone,True,False,False,1693873003.0,False,2023-09-05 00:21:28+00:00,2023-09-05,0,Tuesday,9,2023,284.97,4.7495,Jon Reddick,Glory and Majesty,"God, Turn It Around"
2023-09-05T00:26:31Z,ios,302320,US,172.56.208.159,Come Alive - Acoustic/Live,Hillsong Worship,Awake,spotify:track:3Jlz5N8yjkKKqsddga4fIA,,,,,,,,trackdone,trackdone,True,False,False,1693873288.0,False,2023-09-05 00:26:31+00:00,2023-09-05,0,Tuesday,9,2023,302.32,5.038666666666667,Hillsong Worship,Come Alive - Acoustic/Live,Awake
2023-09-05T00:31:28Z,ios,296400,US,172.56.208.159,You Satisfy (feat. Elyssa Smith),Upper Room Music,Center of Your Love,spotify:track:7suC4UpFBmXv0KRfYdW09F,,,,,,,,trackdone,trackdone,True,False,False,1693873591.0,False,2023-09-05 00:31:28+00:00,2023-09-05,0,Tuesday,9,2023,296.4,4.9399999999999995,Upper Room Music,You Satisfy (feat. Elyssa Smith),Center of Your Love
2023-09-05T00:37:20Z,ios,351311,US,172.56.208.159,Mystery (Hidden Things),VOUS Worship,Mystery (Hidden Things),spotify:track:79lRyqkCvt3mwbYE9rKvFy,,,,,,,,trackdone,trackdone,True,False,False,1693873888.0,False,2023-09-05 00:37:20+00:00,2023-09-05,0,Tuesday,9,2023,351.311,5.855183333333333,VOUS Worship,Mystery (Hidden Things),Mystery (Hidden Things)
2023-09-05T00:43:36Z,ios,333933,US,172.56.208.159,Holy Ground - Live,Hillsong UNITED,People,spotify:track:0rTeyZcuD8Txwtopb4lYcV,,,,,,,,trackdone,trackdone,True,False,False,1693874271.0,False,2023-09-05 00:43:36+00:00,2023-09-05,0,Tuesday,9,2023,333.933,5.56555,Hillsong UNITED,Holy Ground - Live,People
2023-09-05T00:58:10Z,ios,391413,US,172.56.208.159,Throne Room Song,Charity Gayle,Endless Praise,spotify:track:2jspAMff1XSSzkYhZJtzZV,,,,,,,,trackdone,trackdone,True,False,False,1693874617.0,False,2023-09-05 00:58:10+00:00,2023-09-05,0,Tuesday,9,2023,391.413,6.52355,Charity Gayle,Throne Room Song,Endless Praise
2023-09-05T01:04:32Z,ios,382573,US,172.56.208.159,Echoes (Till We See The Other Side) - Live,Hillsong UNITED,People,spotify:track:0oHYnQXUrFoIm0xraAmdNG,,,,,,,,trackdone,trackdone,True,False,False,1693875490.0,False,2023-09-05 01:04:32+00:00,2023-09-05,1,Tuesday,9,2023,382.573,6.376216666666666,Hillsong UNITED,Echoes (Till We See The Other Side) - Live,People
