ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-08-27T01:02:32Z,windows,1265604,US,136.24.106.5,,,,,This Conversation About the 'Reading Mind' Is a Gift,The Ezra Klein Show,spotify:episode:5ess4DnMyD2YTmjgU5cggh,,,,,remote,logout,False,False,False,,False
2023-08-27T06:39:41Z,windows,1164082,US,12.13.248.226,,,,,This Conversation About the 'Reading Mind' Is a Gift,The Ezra Klein Show,spotify:episode:5ess4DnMyD2YTmjgU5cggh,,,,,clickrow,endplay,False,True,False,1693102393.0,False
2023-09-03T05:26:16Z,windows,3810,US,136.24.106.5,,,,,This Conversation About the 'Reading Mind' Is a Gift,The Ezra Klein Show,spotify:episode:5ess4DnMyD2YTmjgU5cggh,,,,,playbtn,logout,False,False,False,1693718762.0,False
2023-09-03T12:46:29Z,windows,4592540,US,136.24.106.5,,,,,This Conversation About the 'Reading Mind' Is a Gift,The Ezra Klein Show,spotify:episode:5ess4DnMyD2YTmjgU5cggh,,,,,appload,logout,False,False,False,1693740494.0,False
2023-09-04T00:29:31Z,ios,393360,US,172.56.209.239,Another In The Fire - Live,Hillsong UNITED,People,spotify:track:5PmHmU5AaBy9ld3bdQkD96,,,,,,,,playbtn,trackdone,True,False,False,1693786978.0,False
2023-09-04T00:36:52Z,ios,353546,US,172.56.209.239,Good Grace - Live,Hillsong UNITED,People,spotify:track:7nzmXUrZwSOJPNmV0mOmEn,,,,,,,,trackdone,trackdone,True,False,False,1693787371.0,False
2023-09-04T00:40:11Z,ios,197657,US,172.56.209.239,Echoes (Till We See The Other Side) - Live,Hillsong UNITED,People,spotify:track:0oHYnQXUrFoIm0xraAmdNG,,,,,,,,trackdone,endplay,True,True,False,1693787812.0,False
2023-09-04T00:41:55Z,ios,55170,US,172.56.209.239,Not Today,Hillsong UNITED,Wonder,spotify:track:33Nyq9QfKCXEQtzeg22vg7,,,,,,,,fwdbtn,endplay,True,True,False,1693788046.0,False
2023-09-04T00:42:47Z,ios,5836,US,172.56.209.239,Glory and Majesty,Jon Reddick,"God, Turn It Around",spotify:track:5lvrYFNaUV2eib9Tas1gZK,,,,,,,,playbtn,endplay,True,True,False,1693788156.0,False
2023-09-04T00:43:46Z,ios,48599,US,172.56.209.239,Glory and Majesty,Jon Reddick,"God, Turn It Around",spotify:track:5lvrYFNaUV2eib9Tas1gZK,,,,,,,,playbtn,endplay,True,True,False,1693788167.0,False
